@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Entropy_1_32 numeric
@attribute Entropy_1_64 numeric
@attribute Entropy_1_128 numeric
@attribute Entropy_1_256 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Entropy_2_32 numeric
@attribute Entropy_2_64 numeric
@attribute Entropy_2_128 numeric
@attribute Entropy_2_256 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Entropy_4_32 numeric
@attribute Entropy_4_64 numeric
@attribute Entropy_4_128 numeric
@attribute Entropy_4_256 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Entropy_8_32 numeric
@attribute Entropy_8_64 numeric
@attribute Entropy_8_128 numeric
@attribute Entropy_8_256 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Mean_16.0 numeric
@attribute Median_16.0 numeric
@attribute Entropy_16_32 numeric
@attribute Entropy_16_64 numeric
@attribute Entropy_16_128 numeric
@attribute Entropy_16_256 numeric
@attribute class {'class 1','class 2'}

@data
0,0,0,0.000005,0,0,0,0,0,0,0.000121,0.036219,-0.000121,0,0,0,0,0,0,0.028759,0.341269,-0.028759,-0.028638,0.087719,0,0.482752,0.482752,0.482752,0.482752,0.130016,0.420294,-0.130016,-0.129895,-0.101257,0.197183,0,0.788023,0.788023,0.788023,0.788023,0.163801,0.15544,-0.163801,-0.163679,-0.135041,-0.033785,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.000005,0,0,0,0,0,0,0.000113,0.030562,-0.000113,0,0,0,0,0,0,0.03071,0.36462,-0.03071,-0.030597,0.105263,0,0.580605,0.580605,0.580605,0.580605,0.153269,0.431446,-0.153269,-0.153156,-0.122559,0.211268,0,0.811492,0.811492,0.811492,0.811492,0.175381,0.147505,-0.175381,-0.175269,-0.144672,-0.022112,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.000007,0,0,0,0,0,0,0.000233,0.040151,-0.000233,0,0,0,0,0,0,0.037155,0.371228,-0.037155,-0.036923,0.105263,0,0.658308,0.658308,0.658308,0.658308,0.176538,0.412421,-0.176538,-0.176305,-0.139382,0.234742,0,0.903885,0.903885,0.903885,0.903885,0.185281,0.135295,-0.185281,-0.185049,-0.148126,-0.008744,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.002308,0,0,0,0,0,0,0.000613,0.106605,-0.000613,0,0,0,0,0,0,0.057176,0.403155,-0.057176,-0.056563,0.157895,0,0.74197,0.74197,0.74197,0.74197,0.199921,0.362463,-0.199921,-0.199308,-0.142745,0.258216,0,0.900333,0.900333,0.900333,0.900333,0.193065,0.119863,-0.193065,-0.192453,-0.13589,0.006856,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.057173,0,0,0,0,0,0,0.006693,0.391568,-0.006693,0.047619,0,0.276195,0.276195,0.276195,0.276195,0.104597,0.520017,-0.104597,-0.097904,0.192982,0,0.844959,0.844959,0.844959,0.844959,0.22313,0.287184,-0.22313,-0.216437,-0.118533,0.2723,0,0.953055,0.953055,0.953055,0.953055,0.198398,0.102744,-0.198397,-0.191705,-0.093801,0.024732,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0.000007,0.192529,0,0,0,0,0,0,0.037191,0.785288,-0.037184,0.238095,0,0.856996,0.856996,0.856996,0.856996,0.179078,0.593593,-0.179071,-0.141887,0.210526,0,0.81482,0.81482,0.81482,0.81482,0.245126,0.199846,-0.245119,-0.207935,-0.066048,0.295775,0,0.991422,0.991422,0.991422,0.991422,0.20105,0.086168,-0.201043,-0.163859,-0.021972,0.044076,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0,0,0,0,0,0,0,0.000002,0.001622,-0.000002,0,0,0,0,0,0,0.015062,0.161338,-0.015062,-0.01506,0.052632,0,0.366368,0.366368,0.366368,0.366368,0.1365,0.341987,-0.1365,-0.136498,-0.121438,0.220657,0,0.808667,0.808667,0.808667,0.808667,0.170402,0.141218,-0.170402,-0.1704,-0.15534,-0.033902,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.00001,0,0,0,0,0,0,0.000222,0.058484,-0.000222,0,0,0,0,0,0,0.040654,0.354635,-0.040654,-0.040433,0.105263,0,0.580605,0.580605,0.580605,0.580605,0.166344,0.330396,-0.166344,-0.166122,-0.125689,0.244131,0,0.874168,0.874168,0.874168,0.874168,0.179045,0.128423,-0.179045,-0.178824,-0.138391,-0.012702,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.11203,0,0,0,0,0,0,0.010708,0.624561,-0.010707,0.095238,0,0.276195,0.276195,0.276195,0.276195,0.103134,0.662822,-0.103134,-0.092427,0.192982,0,0.779626,0.779626,0.779626,0.779626,0.199562,0.304565,-0.199561,-0.188854,-0.096427,0.248826,0,0.903885,0.903885,0.903885,0.903885,0.185565,0.113188,-0.185564,-0.174857,-0.08243,0.013997,0.129193,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,2.828427,0.003263,2.659874,0.222222,0,0.503258,0.503258,0.503258,0.503258,0.115488,1.786829,-0.112225,0.190476,0,0.722858,0.722858,0.722858,0.722858,0.206065,0.889263,-0.202803,-0.090577,0.22807,0,0.74197,0.74197,0.74197,0.74197,0.233861,0.267251,-0.230598,-0.118373,-0.027796,0.267606,0,0.926151,0.926151,0.926151,0.926151,0.18966,0.097236,-0.186397,-0.074172,0.016405,0.044201,0.12795,0,0.549436,0.549436,0.549436,0.549436,'class 2'
