Area,CD19 (Opal 480) Mean,CD19_Mean,CD3 (Opal 540) Mean,CD3_Mean,CD68 (Opal 520) Mean,CD68_Mean,CD8 (Opal 650) Mean,CD8_Mean,CK (Opal 780) Mean,CK_Mean,Dapi (DAPI) Mean,IER3 (Opal 620) Mean,Ki67 (Opal 690) Mean,cell_id,cell_type_FlowSOM_QC,cell_type_auto_int,cell_type_inform_int,cell_type_manual_int,pStat3 (Opal 570) Mean,sample_id_int,tsne_1,tsne_2
43,0,0,0.123,0,1.598,5.88E-05,0.375,0,0.911,0.691,3.531,0.157,0.093,60,5,5,6,5,0.163,1,45.3931,-14.9654
98,0,0,0.443,0,9.812,0.37,0.637,1.29E-05,0.562,0.293,2.85,0.218,0.188,62,4,4,6,4,0.178,1,62.8395,-8.99166
132,0,0,0.242,0.0002219,9.83,0.462,0.9,9.24E-05,1.193,0.612,13.114,0.269,0.21,66,4,4,6,6,0.321,1,63.1492,-8.70246
113,0,0,0.24,0,6.581,0.382,0.756,0,0.666,0.35,3.714,0.368,0.308,68,4,4,6,4,0.249,1,60.5992,13.6747
85,0.015,0.022,0.298,4.46E-05,4.871,0.027,2.108,0.131,0.907,0.298,5.373,0.61,0.16,82,5,5,6,5,0.483,1,55.0994,18.4063
182,0.001,0,0.31,0.0001435,6.866,0.285,1.428,0.002,0.529,0.197,2.671,1.017,0.689,85,4,4,6,5,0.596,1,58.2054,12.9304
83,0,0,0.194,0,2.482,0.004,0.621,0,0.589,0.723,2.724,0.309,0.306,90,5,5,6,5,0.197,1,30.6714,25.5829
102,0,0,0.183,0,1.945,0.002,0.399,0,0.582,0.664,2.666,0.189,0.084,93,5,5,6,5,0.118,1,29.1852,15.5873
127,0.003,0.0005125,0.443,0.0001737,8.056,0.332,2.33,0.017,0.547,0.19,1.366,1.255,0.292,97,4,4,6,5,0.717,1,56.1097,12.2638
30,0,0,0.413,0,1.191,0,0.424,0,0.616,0.765,5.49,0.184,0.159,98,5,5,6,5,0.414,1,37.0651,-27.6974
32,0,0,0.472,0.0003947,1.277,0.001,0.469,0,0.89,0.67,2.49,0.231,0.094,100,5,5,6,5,0.182,1,37.2153,-34.8067
93,0,0,0.238,0,1.764,0.001,0.852,2.72E-05,0.894,0.57,2.11,0.506,0.091,102,5,5,6,5,0.228,1,47.1697,-14.3886
77,0,0,0.474,0.0001151,2.675,0.001,4.394,0.672,0.929,0.689,2.75,0.213,4.869,110,3,3,6,6,0.731,1,20.4769,49.9509
85,0,0,0.484,0.000235,2.709,0.005,4.422,0.696,0.497,0.403,1.932,0.171,0.162,112,3,3,6,6,0.386,1,20.556,49.9426
49,0,0,2.04,0.791,2.236,0.0001806,8.576,0.877,0.234,0.008,5.276,0.087,0.483,113,3,3,6,3,0.956,1,20.7719,56.4782
