sample_id_int,cell_id,Area,CD3_Mean,CD8_Mean,CD19_Mean,CD68_Mean,CK_Mean,CD3 (Opal 540) Mean,CD8 (Opal 650) Mean,CD19 (Opal 480) Mean,CD68 (Opal 520) Mean,CK (Opal 780) Mean,IER3 (Opal 620) Mean, pStat3 (Opal 570) Mean, Ki67 (Opal 690) Mean, Dapi (DAPI) Mean,tsne_1,tsne_2,cell_type_inform_int,cell_type_manual_int,cell_type_auto_int,cell_type_FlowSOM_QC
1,138,364,0,0,0,0.0002498,0.078,0.29,0.477,0,1.305,0.253,0.168,0.282,1.548,9.21,15.848274,14.661527,5,6,6,6
1,153,61,0,0.0003289,0.019,0.004,0.044,0.162,0.567,0.008,1.224,0.227,0.16,0.226,2.124,5.909,13.029561,16.874832,5,6,6,6
1,170,708,2.76E-05,0.004,0,0.003,0.019,0.405,0.632,0,1.927,0.284,0.302,0.584,0.176,6.066,22.75808,22.019156,5,6,6,6
1,273,709,0,0,0,1.31E-05,0.03,0.234,0.431,0,1.183,0.248,0.401,0.085,0.365,3.223,17.025467,-2.5003364,5,6,6,6
1,321,146,0,0,0,3.46E-05,0.022,0.314,0.622,0.001,1.483,0.222,0.316,0.122,6.003,4.898,17.199299,20.208824,5,6,6,6
1,333,143,0,0,0,6.86E-05,0.013,0.252,0.528,0,1.323,0.211,0.296,0.165,5.565,4.71,15.210213,15.125364,5,6,6,6
1,336,506,0,0,0,4.96E-05,0.058,0.217,0.457,0,1.531,0.314,0.233,0.123,0.166,4.984,40.49117,-9.748916,5,6,6,6
1,343,229,0,0.002,0.000316,0.0003626,0.051,0.32,0.876,0.001,1.742,0.338,0.836,0.254,7.472,3.594,18.136875,24.840847,5,6,6,6
1,369,106,0,0,0,0.000131,0.04,0.235,0.436,0,0.915,0.213,0.122,0.157,0.122,4.492,8.266755,10.487059,5,6,6,6
1,422,386,0,0,0,0.131,0.081,0.208,0.502,0,4.592,0.378,0.164,0.107,0.18,6.187,55.540543,30.88669,5,6,4,6
1,453,129,0.0001881,0,0,0,0.08,0.199,0.404,0,1.362,0.347,0.14,0.153,4.336,5.773,34.56791,-16.073189,5,6,6,6
1,611,596,0,0,0,0.0002156,0.06,0.141,0.318,0,0.953,0.238,0.095,0.071,0.147,4.259,6.417376,-5.705008,5,6,6,6
1,658,255,0,0,4.94E-05,0.011,0.058,0.362,0.47,0.001,1.265,0.311,0.2,0.694,0.181,7.037,30.887114,-20.42145,5,6,6,6
1,678,114,0,8.30E-05,4.43E-05,0.003,0.000316,0.429,0.546,0,1.095,0.198,0.223,0.366,0.132,8.192,11.730026,14.362012,5,6,6,6
1,684,231,0,0,0,0.001,0.008,0.392,0.476,0,1.026,0.229,0.187,0.558,0.219,7.49,11.563679,13.222595,5,6,6,6
1,692,163,0,0,0,2.33E-05,0.014,0.204,0.452,0,0.826,0.205,0.102,0.214,0.123,5.2,6.1689844,11.12761,5,6,6,6
1,720,220,0.019,0.102,0,0.004,0.031,0.232,1.108,0,1.301,0.239,0.102,0.249,0.192,4.335,14.174627,27.787851,5,6,3,6
1,799,610,0.102,0,0,6.20E-06,0.099,0.586,0.509,0,1.041,0.262,0.167,0.171,2.482,7.799,11.115476,32.545532,5,5,5,6
1,916,249,0,0,0,0,0.074,0.172,0.353,0,0.591,0.271,0.126,0.143,0.403,6.408,-21.173841,-11.331335,5,6,6,6
1,992,620,0,0,0,0,0.077,0.188,0.388,0,0.754,0.282,0.113,0.114,0.148,4.794,-5.9042788,-23.561014,5,6,6,6
1,1060,239,0.002,0,0,0,0.031,0.271,0.366,0,0.626,0.216,0.093,1.012,0.287,5.324,-20.180847,-12.927606,5,6,6,6
1,1102,625,0,0,0,3.00E-05,0.069,0.211,0.359,0,1.131,0.265,0.149,0.11,0.12,4.529,15.721518,-6.7338014,5,6,6,6
1,1138,724,0,0,0,0.006,0.064,0.264,0.51,0,1.426,0.232,0.221,0.144,0.884,6.659,16.68593,18.32696,5,6,6,6
1,1210,633,0.0002102,5.33E-06,0,0.03,0.046,0.228,0.421,0,1.939,0.281,0.175,0.17,0.267,4.519,45.400322,1.3028393,5,6,6,6
