original,Gaussian_blur_2.0,Gaussian_blur_4.0,Entropy_2_64,Entropy_2_128,Entropy_2_256,class
0,0.027078,0.121346,0.548954,0.548954,0.548954,'class 2'
0,0.286554,0.24804,0.722858,0.722858,0.722858,'class 2'
0,0.000902,0.049167,0,0,0,'class 2'
0,0.026255,0.131525,0.722858,0.722858,0.722858,'class 2'
0,0.245199,0.263305,0.963746,0.963746,0.963746,'class 2'
0,0.057578,0.098058,0.453716,0.453716,0.453716,'class 2'
0,0.057157,0.084552,0.453716,0.453716,0.453716,'class 2'
0,0.015929,0.06129,0.453716,0.453716,0.453716,'class 2'
0,0.005104,0.037992,0.276195,0.276195,0.276195,'class 2'
0,0.1249,0.112668,0.453716,0.453716,0.453716,'class 2'
0,0.052567,0.077457,0.276195,0.276195,0.276195,'class 2'
0,0.005106,0.044403,0.276195,0.276195,0.276195,'class 2'
0,0.125432,0.13893,0.453716,0.453716,0.453716,'class 2'
0,0.016351,0.092428,0.453716,0.453716,0.453716,'class 2'
0,0.00082,0.048393,0,0,0,'class 2'
0,0.000021,0.020386,0,0,0,'class 2'
0,0.07828,0.177339,0.856996,0.856996,0.856996,'class 2'
0,0.011095,0.104653,0.453716,0.453716,0.453716,'class 2'
0,0.000702,0.051264,0,0,0,'class 2'
0,0.00023,0.024603,0,0,0,'class 2'
0,0.074717,0.18814,0.722858,0.722858,0.722858,'class 2'
0,0.010675,0.104612,0.453716,0.453716,0.453716,'class 2'
0,0.011129,0.058776,0.276195,0.276195,0.276195,'class 2'
0,0.005012,0.033088,0.276195,0.276195,0.276195,'class 2'
0,0.119088,0.106648,0.453716,0.453716,0.453716,'class 2'
0,0.052606,0.063241,0.276195,0.276195,0.276195,'class 2'
0,0.005012,0.030206,0.276195,0.276195,0.276195,'class 2'
0,0.124286,0.361546,1.118275,1.118275,1.118275,'class 2'
0,0.09299,0.320696,1.220729,1.220729,1.220729,'class 2'
0,0.180515,0.266918,0.591673,0.591673,0.591673,'class 2'
0,0.254182,0.405394,1.28002,1.28002,1.28002,'class 2'
0,0.257871,0.457693,1.28002,1.28002,1.28002,'class 2'
0,0.392243,0.493256,1.301241,1.301241,1.301241,'class 2'
0,0.039618,0.310178,0.722858,0.722858,0.722858,'class 2'
0,0.044505,0.324894,0.892943,0.892943,0.892943,'class 2'
0,0.180198,0.429099,1.37789,1.37789,1.37789,'class 2'
0,0.090507,0.188276,0.856996,0.856996,0.856996,'class 2'
0,0.11608,0.166426,0.548954,0.548954,0.548954,'class 2'
0,0.010236,0.074851,0.276195,0.276195,0.276195,'class 2'
0,0.238363,0.209693,0.722858,0.722858,0.722858,'class 2'
0,0.022165,0.09978,0.276195,0.276195,0.276195,'class 2'
0,0.131927,0.234584,0.856996,0.856996,0.856996,'class 2'
0,0.015737,0.119481,0.548954,0.548954,0.548954,'class 2'
0,0.000692,0.045385,0,0,0,'class 2'
0,0.059169,0.145645,0.453716,0.453716,0.453716,'class 2'
0,0.135024,0.17036,0.722858,0.722858,0.722858,'class 2'
0,0.07953,0.165575,0.722858,0.722858,0.722858,'class 2'
0,0.146123,0.24954,1.125491,1.125491,1.125491,'class 2'
0,0.027415,0.167116,0.722858,0.722858,0.722858,'class 2'
0,0.015709,0.121131,0.548954,0.548954,0.548954,'class 2'
0,0.104744,0.122056,0.276195,0.276195,0.276195,'class 2'
0,0.227955,0.140928,0.276195,0.276195,0.276195,'class 2'
0,0.053647,0.121991,0.276195,0.276195,0.276195,'class 2'
0,0.000702,0.052617,0,0,0,'class 2'
0,0.006606,0.102033,0.276195,0.276195,0.276195,'class 2'
0,0.03134,0.17108,0.856996,0.856996,0.856996,'class 2'
0,0.141241,0.246831,1.048841,1.048841,1.048841,'class 2'
0,0.000241,0.03781,0,0,0,'class 2'
0,0.001174,0.064456,0,0,0,'class 2'
0,0.015232,0.115808,0.548954,0.548954,0.548954,'class 2'
0,0.079761,0.185726,0.722858,0.722858,0.722858,'class 2'
0,0.198586,0.257518,0.892943,0.892943,0.892943,'class 2'
0,0.010925,0.089728,0.276195,0.276195,0.276195,'class 2'
